,total_cnt,rare_vocab,rare_ratio,rare_freq_ratio,vocab_size,roc_auc
kiwi,46943,29065,61.915514560211314,1.285459667724842,17879,0.9392158892437399
bareun,66681,46039,69.04365561404298,2.0656072106804886,20643,0.9349140694795546
ltokenizer,235168,205513,87.38986596815893,15.065052303476667,29656,0.919108105557631
max_score,167242,138873,83.03715573839108,9.04410683627599,28370,0.934653398046316
hannanum,182198,158670,87.08657614243845,8.200177255847207,23529,
komoran,55043,36854,66.95492614864742,1.6391542779794273,18190,
mecab,50204,28464,56.69667755557326,1.4590719384795277,21741,
okt_stem,45557,25753,56.52918322101982,1.6384346628914317,19805,
okt,101541,68875,67.82974365034814,4.266309924278831,32667
